1 ;  
-1 ;  
-1 ; Von der Leinenpflicht sollte auf Hundewiesen weiter abgesehen werden. 
-1 ;  
1 ;  
1 ;  
-1 ;  
-1 ;  
1 ;  
-1 ;  
1 ;  
-1 ;  
-1 ;  
-1 ; Generell sollte man hier den Dialog suchen und zu einer gemeinsamen, einvernehmlichen Lösung kommen. Wer aber der Meinung ist, dass um 20:00 der Bürgersteig hochgeklappt werden sollte, der hat mit der Innenstadt den falschen Wohnort gewählt.
1 ; Bonn sollte keine Angst vor ambitionierten Investoren haben, anderseits muss man auch sagen, dass   das Investoreninteresse, nicht immer das Stadtinteresse ist.
1 ;  
-1 ; Ein neues Kombibad zwischen Bonn und Bad-Godesberg (linksrheinisch) kann sinnvoll sein. Weitere Kombibäder brauchen wir nicht.
1 ;  
-1 ;  
1 ; Ja.Der beschlossene Masterplan Klimaschutz bietet dafür eine gute Grundlage. 
-1 ; Das Geld für die Müllbeseitigung ist ausreichend. Es muss aber effizenter eingesetzt  und die Müllbeseitigung verbessert werden. 
0 ; Gerade beim Haushalt brauchen wir mehr kaufmännisches Denken. Eine Kommune kann man aber nicht mit einem Unternehmen vergleichen, da die Kommune zum Beispiel auf Daseinsvorsorge betreibt.
-1 ;  
1 ;  
-1 ; Wir brauchen im Viktoriaviertel einen Mix aus Wohnen, Einkaufen und Gastronomie und ein Erhalt des stundentischen Flairs.
-1 ;  
-1 ;  
-1 ; So generell kann man das nicht sagen. Sollte die Stadt Liegenschaften verkaufen, hat die Stadt auch i 
1 ;  
1 ;  
1 ; Wir müssen die Straße entlasten, damit sie für diejenigen freier ist, die auf das Auto angewiesen sind. Deshalb müssen wir in Radverkehr und ÖPNV investieren.
0 ; Eine Seilbahn zwischen Museumsmeile und Venusberg ist eine attrakive Idee, sie muss aber auch wirtschaftlich sein.
1 ;  
0 ; Wir sollten beide Gruppen nicht gegeneinander auspielen. 
1 ;  
1 ;  
1 ;  
1 ;  
1 ;  
-1 ;  
